Model,Val_MAE,Val_RMSE,Val_MAPE,Test_MAE,Test_RMSE,Test_MAPE
ARIMA,9.520764930069996,11.353866096787199,253.37517996113098,12.174883576224284,14.40242702745108,116.7800856530177
Prophet,3.497763217418766,4.41623132180041,280.5178918281863,3.5642901758351395,4.611127002708363,235.99751631961695
Baseline (Persistence),10.954967326958105,13.144416441178585,129.66834423124874,12.092152795464193,14.27564075983232,124.6915376331166
